Dates,Open,Hign,Low,Closing
20061107,1512.649,1516.803,1491.33,1516.104
20061108,1512.362,1513.037,1497.009,1498.173
20061109,1491.801,1527.377,1489.199,1524.714
20061110,1525.226,1535.196,1493.197,1504.062
20061113,1498.064,1512.95,1465.629,1475.779
20061114,1475.445,1493.877,1453.259,1493.776
20061115,1494.114,1534.849,1490.868,1534.762
20061116,1540.258,1558.406,1531.289,1533.288
20061117,1528.007,1562.236,1521.549,1562.084
20061120,1567.344,1593.189,1567.344,1593.158
20061121,1591.47,1612.46,1568.95,1612.249
20061122,1610.049,1639.414,1600.383,1624.028
20061123,1623.714,1642.808,1618.043,1634.914
20061124,1629.894,1640.752,1611.547,1636.58
20061127,1632.659,1651.801,1627.919,1651.801
20061128,1649.681,1656.188,1629.825,1644.014
20061129,1617.69,1672.909,1604.815,1667.142
20061130,1671.665,1714.493,1671.665,1714.358
20061201,1719.278,1741.804,1715.786,1729.224
20061204,1731.897,1780.801,1731.897,1780.736
20061205,1785.443,1811.658,1777.432,1794.231
20061206,1794.256,1806.645,1717.722,1779.411
20061207,1774.185,1820.719,1770.569,1775.714
20061208,1752.771,1772.162,1710.001,1711.584
20061211,1705.911,1790.115,1705.911,1789.924
20061212,1798.464,1819.802,1772.108,1802.788
20061213,1805.424,1813.276,1779.558,1803.856
20061214,1807.079,1836.194,1805.2,1836.143
20061215,1842.883,1867.777,1832.514,1867.636
20061218,1875.005,1918.291,1875.005,1916.108
20061219,1924.799,1936.751,1882.541,1921.444
20061220,1912.904,1936.802,1893.424,1936.547
20061221,1935.784,1945.473,1905.72,1908.985
20061222,1896.48,1918.487,1880.566,1895.644
20061225,1898.819,1957.466,1898.819,1939.104
20061226,1941.795,1959.982,1914.975,1938.238
20061227,1940.412,1983.109,1939.553,1982.877
20061228,1988.016,2010.371,1964.973,1979.933
20061229,1991.876,2052.861,1991.876,2041.047
20070104,2073.25,2139.494,2054.242,2067.092
20070105,2051.152,2083.402,2030.762,2072.883
20070108,2072.005,2131.737,2071.721,2131.556
20070109,2137.485,2201.36,2128.064,2200.086
20070110,2210.757,2255.966,2194.77,2255.966
20070111,2257.01,2289.95,2224.366,2231.629
20070112,2215.859,2249.543,2159.775,2173.747
20070115,2170.943,2287.684,2170.943,2287.342
20070116,2310.963,2354.431,2297.238,2353.874
20070117,2360.41,2393.218,2266.344,2308.931
20070118,2292.173,2325.528,2240.214,2317.095
20070119,2320.873,2396.093,2320.873,2396.093
20070122,2424.815,2491.711,2424.815,2491.313
20070123,2508.265,2516.593,2415.111,2508.13
20070124,2508.523,2556.099,2489.932,2536.428
20070125,2512.459,2529.432,2449.051,2452.831
20070126,2415.746,2524.243,2356.982,2512.922
20070129,2529.943,2582.405,2521.503,2576.917
20070130,2586.523,2599.452,2531.776,2551.884
20070131,2544.3,2548.175,2367.67,2385.335
20070201,2350.596,2410.422,2310.569,2395.172
20070202,2397.058,2403.619,2293.277,2298.003
20070205,2282.77,2304.318,2247.929,2271.797
20070206,2271.372,2316.702,2198.901,2316.04
20070207,2330.428,2390.867,2330.428,2369.787
20070208,2376.629,2415.959,2354.697,2410.601
20070209,2412.644,2417.643,2376.022,2397.245
20070212,2397.849,2485.759,2396.786,2485.392
20070213,2498.345,2526.227,2489.66,2522.63
20070214,2527.56,2594.661,2520.533,2588.349
20070215,2607.626,2669.183,2607.626,2668.633
20070216,2692.67,2717.57,2660.486,2676.735
20070226,2679.265,2710.301,2641.12,2707.676
20070227,2717.812,2719.519,2454.918,2457.492
20070228,2413.422,2554.226,2413.327,2544.571
20070301,2550.26,2550.328,2439.503,2473.544
20070302,2468.672,2523.856,2455.819,2508.729
20070305,2503.816,2541.818,2409.715,2475.606
20070306,2467.741,2539.453,2452.142,2520.293
20070307,2532.975,2594.458,2532.148,2589.436
20070308,2597.715,2628.448,2565.109,2627.63
20070309,2632.8,2643.809,2587.488,2611.393
20070312,2612.957,2619.498,2563.367,2616.172
20070313,2620.715,2641.626,2605.234,2640.169
20070314,2609.927,2625.123,2546.646,2597.357
20070315,2595.543,2645.877,2595.543,2645.546
20070316,2656.009,2665.39,2576.316,2604.226
20070319,2533.711,2674.798,2523.302,2659.413
20070320,2669.635,2674.47,2645.25,2672.771
20070321,2685.925,2702.998,2666.891,2702.597
20070322,2720.459,2740.28,2702.414,2711.322
20070323,2710.362,2726.62,2653.794,2716.266
20070326,2725.397,2764.398,2713.926,2764.034
20070327,2770.348,2789.967,2753.017,2784.023
20070328,2787.239,2806.077,2689.114,2797.649
20070329,2802.377,2830.082,2782.93,2783.305
20070330,2768.71,2801.945,2753.147,2781.784
20070402,2793.957,2850.152,2793.957,2850.107
20070403,2861.898,2888.329,2852.571,2888.115
20070404,2893.377,2924.676,2875.685,2911.821
20070405,2909.5,2950.659,2895.416,2945.045
20070406,2921.727,2977.459,2911.052,2972.008
20070409,2988.377,3043.06,2988.377,3038.172
20070410,3053.355,3081.617,2993.114,3081.568
20070411,3092.085,3121.537,3059.283,3121.323
20070412,3129.247,3176.69,3114.911,3176.437
20070413,3182.777,3211.607,3154.106,3169.233
20070416,3177.303,3256.566,3177.291,3255.998
20070417,3273.43,3288.166,3182.951,3283.604
20070418,3294.213,3311.981,3244.934,3304.501
20070419,3297.946,3297.946,3065.282,3150.303
20070420,3165.674,3297.41,3165.674,3289.282
20070423,3330.798,3433.519,3330.798,3431.318
20070424,3462.48,3490.814,3418.301,3445.196
20070425,3432.024,3467.828,3376.084,3448.281
20070426,3465.112,3493.909,3438.879,3493.581
20070427,3499.941,3503.885,3436.002,3470.523
20070430,3487.358,3568.684,3478.928,3558.709
20070508,3643.813,3699.367,3618.782,3686.03
20070509,3699.296,3717.34,3556.615,3701.277
20070510,3703.525,3742.231,3671.813,3724.51
20070511,3696.294,3715.366,3629.713,3702.612
20070514,3648.269,3769.159,3620.861,3734.42
20070515,3739.049,3751.642,3600.207,3604.636
20070516,3597.997,3700.646,3557.198,3700.287
20070517,3716.438,3794.16,3705.275,3778.605
20070518,3771.271,3805.208,3746.242,3776.629
20070521,3650.803,3843.837,3643.076,3831.443
20070522,3849.043,3893.192,3849.043,3870.489
20070523,3879.759,3939.492,3853.908,3938.945
20070524,3953.887,3972.584,3858.513,3919.748
20070525,3907.73,3996.853,3888.308,3985.252
20070528,4033.921,4091.935,4027.363,4072.578
20070529,4090.903,4168.529,4079.868,4168.289
20070530,3906.041,4104.2,3849.701,3886.459
20070531,3828.916,3991.73,3683.562,3927.952
20070601,3953.1,4014.153,3780.029,3803.954
20070604,3804.958,3822.409,3503.939,3511.431
20070605,3406.999,3635.153,3246.733,3634.633
20070606,3652.893,3712.528,3550.737,3677.58
20070607,3694.55,3802.304,3684.459,3802.304
20070608,3814.185,3861.206,3769.151,3837.867
20070611,3876.067,3937.793,3870.234,3931.862
20070612,3953.959,4036.355,3834.018,4036.109
20070613,4071.735,4146.522,4064.146,4118.268
20070614,4103.523,4132.004,4022.78,4075.821
20070615,4043.111,4115.725,4025.1,4099.381
20070618,4178.762,4246.4,4177.19,4227.569
20070619,4227.592,4254.715,4186.176,4253
20070620,4268.655,4292.198,4138.331,4157.599
20070621,4140.693,4208.872,4110.959,4197.28
20070622,4203.134,4220.923,3970.346,4051.426
20070625,4066.453,4105.986,3850.84,3877.59
20070626,3804.413,3929.371,3752.926,3928.213
20070627,3946.876,4053.413,3912.199,4040.484
20070628,4038.378,4067.811,3857.848,3858.522
20070629,3769.331,3867.748,3718.161,3764.078
20070702,3746.175,3801.904,3644.187,3757.655
20070703,3782.778,3835.289,3744.015,3832.227
20070704,3840.412,3848.076,3727.562,3743.582
20070705,3688.312,3706.597,3535.042,3537.435
20070706,3517.599,3712.742,3475.271,3710.283
20070709,3743.869,3840.988,3722.231,3821.302
